category,name,formula_latex,formula_ascii,description,parameters,parameter_values,complexity_time,complexity_space,pipeline_stages,is_lossless,prerequisites
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 4096, ""lookahead_size"": 64}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 4096, ""lookahead_size"": 256}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 8192, ""lookahead_size"": 16}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 8192, ""lookahead_size"": 32}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 8192, ""lookahead_size"": 64}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 8192, ""lookahead_size"": 256}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 32768, ""lookahead_size"": 16}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 32768, ""lookahead_size"": 32}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 32768, ""lookahead_size"": 64}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 32768, ""lookahead_size"": 256}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 65536, ""lookahead_size"": 16}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 65536, ""lookahead_size"": 32}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 65536, ""lookahead_size"": 64}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ77 (Sliding Window),"(d, l, c) \text{ where } d = \text{distance}, l = \text{length}, c = \text{next char}","encode(match) = (distance_back, match_length, next_char)",Replace repeated sequences with back-references; basis for DEFLATE,"{""window_size"": ""sliding window size"", ""lookahead_size"": ""lookahead buffer size""}","{""window_size"": 65536, ""lookahead_size"": 256}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZ78 (Explicit Dictionary),"(i, c) \text{ where } i = \text{dict index}, c = \text{extending char}","encode(phrase) = (dictionary_index, extending_character)",Builds explicit dictionary of phrases; basis for LZW,"{""max_dict_size"": ""maximum dictionary entries""}","{""max_dict_size"": 4096}",O(n),O(dict_size),"[1, 2]",True,[]
DICTIONARY,LZ78 (Explicit Dictionary),"(i, c) \text{ where } i = \text{dict index}, c = \text{extending char}","encode(phrase) = (dictionary_index, extending_character)",Builds explicit dictionary of phrases; basis for LZW,"{""max_dict_size"": ""maximum dictionary entries""}","{""max_dict_size"": 16384}",O(n),O(dict_size),"[1, 2]",True,[]
DICTIONARY,LZ78 (Explicit Dictionary),"(i, c) \text{ where } i = \text{dict index}, c = \text{extending char}","encode(phrase) = (dictionary_index, extending_character)",Builds explicit dictionary of phrases; basis for LZW,"{""max_dict_size"": ""maximum dictionary entries""}","{""max_dict_size"": 65536}",O(n),O(dict_size),"[1, 2]",True,[]
DICTIONARY,LZW (Lempel-Ziv-Welch),\text{output } dict[w]; \text{ add } w+c \text{ to dict}; w = c,output(dict[w]); dict[next_index] = w + c; w = c,"Outputs only dictionary indices; used in GIF, early Unix compress","{""max_bits"": ""maximum code bits""}","{""max_bits"": 12}",O(n),O(2^max_bits),"[1, 2]",True,[]
DICTIONARY,LZW (Lempel-Ziv-Welch),\text{output } dict[w]; \text{ add } w+c \text{ to dict}; w = c,output(dict[w]); dict[next_index] = w + c; w = c,"Outputs only dictionary indices; used in GIF, early Unix compress","{""max_bits"": ""maximum code bits""}","{""max_bits"": 14}",O(n),O(2^max_bits),"[1, 2]",True,[]
DICTIONARY,LZW (Lempel-Ziv-Welch),\text{output } dict[w]; \text{ add } w+c \text{ to dict}; w = c,output(dict[w]); dict[next_index] = w + c; w = c,"Outputs only dictionary indices; used in GIF, early Unix compress","{""max_bits"": ""maximum code bits""}","{""max_bits"": 16}",O(n),O(2^max_bits),"[1, 2]",True,[]
DICTIONARY,LZSS (LZ77 + flags),"\text{flag bit } + \begin{cases} \text{literal byte} & \text{if flag}=0 \\ (d, l) & \text{if flag}=1 \end{cases}","flag_bit + (literal OR (distance, length))",LZ77 variant with flag bits; more efficient for short matches,"{""min_match"": ""minimum match length""}","{""min_match"": 2}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZSS (LZ77 + flags),"\text{flag bit } + \begin{cases} \text{literal byte} & \text{if flag}=0 \\ (d, l) & \text{if flag}=1 \end{cases}","flag_bit + (literal OR (distance, length))",LZ77 variant with flag bits; more efficient for short matches,"{""min_match"": ""minimum match length""}","{""min_match"": 3}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZSS (LZ77 + flags),"\text{flag bit } + \begin{cases} \text{literal byte} & \text{if flag}=0 \\ (d, l) & \text{if flag}=1 \end{cases}","flag_bit + (literal OR (distance, length))",LZ77 variant with flag bits; more efficient for short matches,"{""min_match"": ""minimum match length""}","{""min_match"": 4}",O(n * window),O(window),"[1, 2]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 0, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 0, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 0, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 1, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 1, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 1, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 2, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 2, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 3, ""lp"": 2, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 0, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 0, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 0, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 1, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 1, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 1, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 2, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 2, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 65536, ""lc"": 4, ""lp"": 2, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 0, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 0, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 0, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 1, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 1, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 1, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 2, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 2, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 3, ""lp"": 2, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 0, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 0, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 0, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 1, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 1, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 1, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 2, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 2, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 1048576, ""lc"": 4, ""lp"": 2, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 0, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 0, ""pb"": 1}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 0, ""pb"": 2}",O(n),O(dict_size),"[1, 2, 3]",True,[]
DICTIONARY,LZMA (Lempel-Ziv-Markov chain),LZ77 + \text{range coder} + \text{context-dependent bit models},LZMA = LZ77_matches + range_coder(context_modeled_bits),"LZ77 with range coding and sophisticated context modeling; used in 7z, xz","{""dict_size"": ""dictionary size"", ""lc"": ""literal context bits"", ""lp"": ""literal position bits"", ""pb"": ""position bits""}","{""dict_size"": 16777216, ""lc"": 3, ""lp"": 1, ""pb"": 0}",O(n),O(dict_size),"[1, 2, 3]",True,[]
